number;standard_number;standard_code;professional_area;professional_type;standard_name;order_Mintrud
"165";"868";"08.030";"Финансы и экономика";"Организация администрирования страховых взносов";"Специалист по организации администрирования страховых взносов";"788н от 28.10.2015"
"166";"869";"08.031";"Финансы и экономика";"Установление и выплата пенсий и иных выплат";"Специалист по организации назначения и выплаты пенсии";"785н от 28.10.2015"
"167";"870";"08.032";"Финансы и экономика";"Организация и установление выплат социального характера";"Специалист по организации и установлению выплат социального характера";"787н от 28.10.2015"
"168";"484";"11.011";"Средства массовой информации, издательство и полиграфия";"Производство кинофильмов, телефильмов, видеофильмов и телевизионных программ, деятельность в области телевизионного вещания";"Специалист по видеомонтажу";"332н от 29.05.2015"
"169";"1443";"40.213";"Сквозные виды профессиональной деятельности";"Монтаж лифтов, подъемных платформ для инвалидов, пассажирских конвейеров (движущихся пешеходных дорожек), эскалаторов";"Монтажник лифтов, платформ подъемных для инвалидов, поэтажных эскалаторов";"202н от 31.03.2021"
"170";"62";"16.005";"Строительство и жилищно-коммунальное хозяйство";"Техническое обслуживание и ремонт котельных, работающих
 на твердом топливе";"Специалист по эксплуатации котлов, работающих на твердом топливе";"192н от 07.04.2014"
"171";"79";"16.015";"Строительство и жилищно-коммунальное хозяйство";"Техническое обслуживание и ремонт гидротехнических сооружений и оборудования водозабора";"Специалист по эксплуатации водозаборных сооружений";"245н от 11.04.2014"
"172";"240";"16.021";"Строительство и жилищно-коммунальное хозяйство";"Выполнение кровельных и гидроизоляционных работ";"Кровельщик";"860н от 31.10.2014"
"173";"241";"16.022";"Строительство и жилищно-коммунальное хозяйство";"Выполнение механизированных работ с применением автогрейдера";"Машинист автогрейдера";"476н от 15.07.2021"
"174";"243";"16.024";"Строительство и жилищно-коммунальное хозяйство";"Выполнение механизированных работ с применением асфальтоукладчиков различной производительности";"Машинист асфальтоукладчика";"610н от 31.08.2021"
"175";"260";"16.026";"Строительство и жилищно-коммунальное хозяйство";"Выполнение работ при изготовлении и монтаже армоконструкций";"Арматурщик";"452н от 27.07.2020"
"176";"262";"16.028";"Строительство и жилищно-коммунальное хозяйство";"Выполнение механизированных работ с применением экскаватора";"Машинист экскаватора";"752н от 21.10.2021"
"177";"312";"16.035";"Строительство и жилищно-коммунальное хозяйство";"Настилка и ремонт паркетных полов";"Паркетчик";"1092н от 22.12.2014"
"178";"330";"16.039";"Строительство и жилищно-коммунальное хозяйство";"Выполнение работ при остеклении";"Стекольщик";"1062н от 22.12.2014"
"179";"332";"16.041";"Строительство и жилищно-коммунальное хозяйство";"Управление микротоннельным проходческим комплексом в строительстве";"Оператор по управлению микротоннельным проходческим комплексом в строительстве";"1072н от 22.12.2014"
"180";"333";"16.042";"Строительство и жилищно-коммунальное хозяйство";"Выполнение работ при устройстве и ремонте мостовых, берегоукрепительных и выправительных сооружений всех типов";"Мостовщик";"809н от 17.11.2020"
"181";"346";"16.045";"Строительство и жилищно-коммунальное хозяйство";"Выполнение слесарных работ на строительной площадке";"Слесарь строительный";"1137н от 25.12.2014"
"182";"361";"16.050";"Строительство и жилищно-коммунальное хозяйство";"Техническое обслуживание и ремонт поэтажных эскалаторов (пассажирских конвейеров)";"Электромеханик по эксплуатации, техническому обслуживанию и ремонту эскалаторов и пассажирских конвейеров";"1160н от 26.12.2014"
"183";"410";"16.053";"Строительство и жилищно-коммунальное хозяйство";"Опалубочные работы в строительстве";"Монтажник опалубочных систем";"17н от 16.01.2015"
"184";"418";"16.055";"Строительство и жилищно-коммунальное хозяйство";"Оштукатуривание внутренних и наружных поверхностей зданий и сооружений, устройство наливных стяжек пола и монтаж систем фасадных теплоизоляционных композиционных (далее - СФТК) с нанесением составов вручную или механизированным способом";"Штукатур";"336н от 15.06.2020"
"185";"457";"16.058";"Строительство и жилищно-коммунальное хозяйство";"Выполнение механизированных работ с применением трубоукладчика";"Машинист трубоукладчика";"808н от 17.11.2020"
"186";"458";"16.059";"Строительство и жилищно-коммунальное хозяйство";"Выполнение общестроительных работ, эксплуатация, обслуживание гидротехнических сооружений и мелиоративных систем, выполнение ремонта на них";"Гидротехник в строительстве";"237н от 22.04.2015"
"187";"486";"16.062";"Строительство и жилищно-коммунальное хозяйство";"Работы при монтаже турбоустановок";"Монтажник турбоустановок";"252н от 27.04.2015"
"188";"769";"16.071";"Строительство и жилищно-коммунальное хозяйство";"Механическая очистка сточных вод в системах коммунального водоотведения";"Оператор на решетках, песколовках и жироловках";"1103н от 21.12.2015"
"189";"774";"16.075";"Строительство и жилищно-коммунальное хозяйство";"Очистка сточных вод в системах водоотведения";"Оператор по обработке сырого и илового осадка";"1098н от 21.12.2015"
"190";"779";"16.079";"Строительство и жилищно-коммунальное хозяйство";"Очистка поверхностей нагрева тепловых установок и конструкций";"Огнеупорщик";"1080н от 21.12.2015"
"191";"780";"16.080";"Строительство и жилищно-коммунальное хозяйство";"Ремонт и техническое обслуживание котлоагрегатов и теплообменников";"Котлочист (в системах коммунального теплоснабжения)";"1037н от 21.12.2015"
"192";"783";"16.081";"Строительство и жилищно-коммунальное хозяйство";"Производство изоляционных работ";"Работник по гидро- и теплоизоляции сетей водо- и теплоснабжения";"1068н от 21.12.2015"
"193";"784";"16.082";"Строительство и жилищно-коммунальное хозяйство";"Техническое обслуживание и ремонт трансформаторов";"Работник по ремонту трансформаторов в инженерной инфраструктуре электроснабжения населения";"1071н от 21.12.2015"
"194";"785";"16.083";"Строительство и жилищно-коммунальное хозяйство";"Деятельность по обеспечению учета и регулирования потребления энергетических ресурсов и воды в жилищно-коммунальном хозяйстве";"Работник по техническому обслуживанию (эксплуатации) систем учета и регулирования потребления электрической и тепловой энергии и воды в жилищно-коммунальном хозяйстве";"256н от 19.04.2021"
"195";"789";"16.086";"Строительство и жилищно-коммунальное хозяйство";"Проведение работ по техническому обслуживанию и ремонту инженерных систем отопления, водоснабжения и водоотведения гражданских зданий";"Слесарь домовых санитарно-технических систем и оборудования";"810н от 17.11.2020"
"196";"792";"16.087";"Строительство и жилищно-коммунальное хозяйство";"Обеспечение работоспособности котельных";"Слесарь по ремонту оборудования котельных";"1042н от 21.12.2015"
"197";"793";"16.088";"Строительство и жилищно-коммунальное хозяйство";"Монтаж технологических трубопроводов";"Монтажник технологических трубопроводов";"585н от 30.08.2021"
"198";"794";"16.089";"Строительство и жилищно-коммунальное хозяйство";"Монтаж санитарно-технических систем и оборудования объектов капитального строительства непроизводственного и производственного назначения";"Монтажник санитарно-технических систем и оборудования";"412н от 17.06.2019"
"199";"795";"16.090";"Строительство и жилищно-коммунальное хозяйство";"Выполнение работ по техническому обслуживанию и ремонту электрооборудования гражданских зданий";"Электромонтажник домовых электрических систем и оборудования";"820н от 23.11.2020"
"200";"797";"16.091";"Строительство и жилищно-коммунальное хозяйство";"Монтаж технологического оборудования и связанных с ним конструкций";"Монтажник технологического оборудования и связанных с ним конструкций";"586н от 30.08.2021"
"201";"838";"16.093";"Строительство и жилищно-коммунальное хозяйство";"Строительный контроль в области защиты от коррозии";"Специалист по строительному контролю систем защиты от коррозии";"165н от 13.04.2016"
"202";"198";"30.001";"Судостроение";"Проектирование и конструирование судов, плавучих сооружений, аппаратов иих составных частей";"Специалист по проектированию и конструированию в судостроении";"797н от 17.11.2020"
"203";"501";"30.014";"Судостроение";"Корпусные ремонтные работы на судах, плавучих сооружениях и аппаратах";"Судокорпусник-ремонтник";"727н от 19.10.2020"
"204";"684";"30.017";"Судостроение";"Проверочные работы при постройке и ремонте судов и плавучих сооружений";"Проверщик судовой";"596н от 31.08.2021"
"205";"697";"30.020";"Судостроение";"Наладка и испытания корабельного (судового) оборудования, устройств, приборов, комплексов и систем автоматики, навигации и связи";"Инженер по наладке и испытаниям в судостроении";"729н от 19.10.2020"
"206";"803";"30.024";"Судостроение";"Проведение исследований по разработке новых технологий в области судостроения и судоремонта";"Инженер-исследователь в области судостроения и судоремонта";"798н от 17.11.2020"
"207";"115";"17.009";"Транспорт";"Управление специальным железнодорожным подвижным составом (самоходным), его обслуживание";"Работник по управлению и обслуживанию специального железнодорожного подвижного состава (самоходного)";"634н от 22.09.2020"
"208";"479";"17.014";"Транспорт";"Предоставление комплекса услуг по транспортному обслуживанию грузоотправителей и грузополучателей железнодорожного транспорта";"Агент транспортного обслуживания железнодорожного транспорта";"463н от 31.07.2020"
"209";"583";"17.016";"Транспорт";"Управление, техническое обслуживание и перевозка грузов и людей внедорожным мототранспортным и автотранспортным средством в различных дорожных и метеорологических условиях";"Водитель внедорожных автомототранспортных средств";"833н от 02.11.2015"
"210";"587";"17.020";"Транспорт";"Техническое обслуживание в пути следования пассажирских вагонов и обеспечение безопасного проезда пассажиров";"Поездной электромеханик железнодорожного транспорта";"639н от 22.09.2020"
"211";"619";"17.028";"Транспорт";"Организация выполнения работ по текущему содержанию и ремонту железнодорожного пути и искусственных сооружений";"Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений железнодорожного транспорта";"461н от 31.07.2020"
"212";"686";"17.030";"Транспорт";"Техническое обслуживание и ремонт оборудования контрольно-измерительных вагонов железнодорожного транспорта";"Наладчик контрольно-измерительных вагонов железнодорожного транспорта";"448н от 23.07.2020"
"213";"34";"05.001";"Физическая культура и спорт";"Подготовка и участие в спортивных соревнованиях по определенным видам спорта, спортивным дисциплинам";"Спортсмен";"194н от 28.03.2019"
"214";"578";"05.007";"Физическая культура и спорт";"Судейство спортивного соревнования и физкультурно-спортивных тестовых мероприятий";"Спортивный судья";"193н от 28.03.2019"
"215";"531";"08.023";"Финансы и экономика";"Аудиторская деятельность";"Аудитор";"728н от 19.10.2015"
"216";"430";"08.003";"Финансы и экономика";"Обеспечение проведения микрофинансовых операций";"Специалист по микрофинансовым операциям";"238н от 22.04.2015"
"217";"432";"08.004";"Финансы и экономика";"Предоставление услуг на рынке ценных бумаг и производных финансовых инструментов";"Специалист рынка ценных бумаг";"184н от 23.03.2015"
"218";"433";"08.005";"Финансы и экономика";"Брокерская деятельность в сфере страхования (перестрахования)";"Страховой брокер";"155н от 10.03.2015"
"219";"435";"08.007";"Финансы и экономика";"Обеспечение проведения казначейских операций банка";"Специалист казначейства банка";"456н от 09.07.2018"
"220";"439";"08.008";"Финансы и экономика";"Финансовое консультирование";"Специалист по финансовому консультированию";"167н от 19.03.2015"
"221";"440";"08.009";"Финансы и экономика";"Предоставление услуг по факторингу";"Специалист по факторинговым операциям";"169н от 19.03.2015"
"222";"441";"08.010";"Финансы и экономика";"Внутренний аудит";"Внутренний аудитор";"398н от 24.06.2015"
"223";"444";"08.012";"Финансы и экономика";"Страхование (перестрахование)";"Специалист по страхованию";"404н от 06.07.2020"
"224";"446";"08.014";"Финансы и экономика";"Организация и проведение деятельности по взысканию задолженностей";"Специалист по работе с просроченной задолженностью";"590н от 07.09.2015"
"225";"448";"08.015";"Финансы и экономика";"Предоставление кредитов юридическим лицам и индивидуальным предпринимателям";"Специалист по корпоративному кредитованию";"626н от 09.10.2018"
"226";"449";"08.016";"Финансы и экономика";"Посредническая деятельность между кредитной организацией и заемщиком";"Специалист по кредитному брокериджу";"175н от 19.03.2015"
"227";"455";"08.020";"Финансы и экономика";"Выполнение операций с залоговым имуществом";"Специалист по работе с залогами";"176н от 19.03.2015"
"228";"456";"08.021";"Финансы и экономика";"Финансовый мониторинг в целях противодействия легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма (ПОД/ТФ)";"Специалист по финансовому мониторингу (в сфере противодействия легализации доходов, полученных преступным путем, и финансированию терроризма)";"512н от 24.07.2015"
"229";"459";"08.022";"Финансы и экономика";"Статистическая деятельность";"Статистик";"605н от 08.09.2015"
"230";"552";"08.024";"Финансы и экономика";"Экспертиза и консультирование при осуществлении закупок для обеспечения государственных, муниципальных и корпоративных нужд";"Эксперт в сфере закупок";"626н от 10.09.2015"
"231";"558";"08.026";"Финансы и экономика";"Деятельность по осуществлению, контролю и управлению закупками для обеспечения государственных, муниципальных и корпоративных нужд";"Специалист в сфере закупок";"625н от 10.09.2015"
"232";"536";"26.001";"Химическое, химико-технологическое производство";"Обеспечение комплексного контроля производства наноструктурированных композиционных материалов";"Специалист по обеспечению комплексного контроля производства наноструктурированных композиционных материалов";"589н от 07.09.2015"
"233";"537";"26.002";"Химическое, химико-технологическое производство";"Производство наноструктурированных полимерных материалов";"Специалист по подготовке и эксплуатации оборудования по производству наноструктурированных полимерных материалов";"632н от 14.09.2015"
"234";"539";"26.003";"Химическое, химико-технологическое производство";"Проектирование изделий из наноструктурированных композиционных материалов";"Специалист по проектированию изделий из наноструктурированных композиционных материалов";"631н от 14.09.2015"
"235";"540";"26.004";"Химическое, химико-технологическое производство";"Производство волокнистых наноструктурированных композиционных материалов";"Специалист по производству волокнистых наноструктурированных композиционных материалов";"592н от 07.09.2015"
"236";"541";"26.005";"Химическое, химико-технологическое производство";"Производство наноструктурированных полимерных материалов";"Специалист по производству наноструктурированных полимерных материалов";"730н от 19.10.2020"
"237";"542";"26.006";"Химическое, химико-технологическое производство";"Производство новых наноструктурированных композиционных материалов";"Специалист по разработке наноструктурированных композиционных материалов";"604н от 08.09.2015"
"238";"752";"26.007";"Химическое, химико-технологическое производство";"Обеспечение экологически и санитарно-эпидемиологически безопасного обращения с отходами производства и потребления";"Оператор оборудования для утилизации и обезвреживания медицинских и биологических отходов";"1150н от 24.12.2015"
"239";"292";"20.001";"Электроэнергетика";"Оперативное управление работой смены тепловой электростанции (ТЭС)";"Работник по оперативному управлению объектами тепловой электростанции";"1038н от 15.12.2014"
"240";"666";"20.017";"Электроэнергетика";"Осуществление процессов водоочистки и водоподготовки";"Работник по химической водоподготовке котлов";"1130н от 24.12.2015"
"241";"760";"20.018";"Электроэнергетика";"Мониторинг и диагностика оборудования и систем гидроэлектростанций/ гидроаккумулирующих электростанций (ГЭС/ГАЭС)";"Работник по мониторингу и диагностике оборудования и систем гидроэлектростанций/гидроаккумулирующих электростанций";"1059н от 21.12.2015"
"242";"766";"20.019";"Электроэнергетика";"Мониторинг и диагностика сооружений гидроэлектростанций/ гидроаккумулирующих электростанций (ГЭС/ГАЭС)";"Работник по мониторингу и диагностике сооружений гидроэлектростанций/ гидроаккумулирующих электростанций";"1121н от 24.12.2015"
"243";"768";"20.020";"Электроэнергетика";"Ремонт гидротурбинного и гидромеханического оборудования гидроэлектростанций/ гидроаккумулирующих электростанций (ГЭС/ ГАЭС)";"Работник по ремонту гидротурбинного и гидромеханического оборудования гидроэлектростанций/ гидроаккумулирующих электростанций";"1058н от 21.12.2015"
"244";"773";"20.021";"Электроэнергетика";"Ремонт гидротехнических сооружений (ГТС) гидроэлектростанций/ гидроаккумулирующих электростанций (ГЭС/ГАЭС)";"Работник по ремонту гидротехнических сооружений гидроэлектростанций/ гидроаккумулирующих электростанций";"1120н от 24.12.2015"
"245";"782";"20.023";"Электроэнергетика";"Расчет режимов тепловых сетей";"Работник по расчету режимов тепловых сетей";"1072н от 21.12.2015"
"246";"788";"20.024";"Электроэнергетика";"Ремонт оборудования, трубопроводов и арматуры тепловых сетей";"Работник по ремонту оборудования, трубопроводов и арматуры тепловых сетей";"1069н от 21.12.2015"
"247";"796";"20.026";"Электроэнергетика";"Ремонт электротехнического оборудования (ЭТО) гидроэлектростанций/ гидроаккумулирующих электростанций (ГЭС/ГАЭС)";"Работник по ремонту электротехнического оборудования гидроэлектростанций/ гидроаккумулирующих электростанций";"1119н от 24.12.2015"
"248";"828";"20.032";"Электроэнергетика";"Обслуживание «оборудования» подстанций электрических сетей";"Работник по обслуживанию оборудования подстанций электрических сетей";"611н от 31.08.2021"
"249";"832";"20.033";"Электроэнергетика";"Управление качеством производственных активов гидроэнергетических объектов (гидроэлектростанций/ гидроаккумулирующих электростанций (ГЭС/ГАЭС))";"Работник по управлению качеством производственных активов гидроэнергетических объектов (гидроэлектростанций/ гидроаккумулирующих электростанций)";"45н от 10.02.2016"
"250";"31";"40.010";"Сквозные виды профессиональной деятельности";"Технический контроль качества и управление качеством продукции";"Специалист по техническому контролю качества продукции";"480н от 15.07.2021"
"251";"1";"01.001";"Образование и наука";"Дошкольное образование      Начальное общее образование       Основное общее образование        Среднее общее образование";"Педагог (педагогическая деятельность в сфере дошкольного, начального общего, основного общего, среднего общего образования) (воспитатель, учитель)";"544н от 18.10.2013"
"252";"2";"40.001";"Сквозные виды профессиональной деятельности";"Охрана и защита интеллектуальной собственности (далее - ИС) и введение в оборот прав на нее";"Специалист по патентоведению";"748н от 21.10.2021"
"253";"121";"13.005";"Сельское хозяйство";"Мелиорация земель сельскохозяйственного назначения";"Специалист по агромелиорации";"682н от 30.09.2020"
"254";"122";"11.006";"Средства массовой информации, издательство и полиграфия";"Редактирование и подготовка материалов к публикации в средствах массовой информации (СМИ)";"Редактор средств массовой информации";"538н от 04.08.2014"
"255";"130";"24.022";"Атомная промышленность";"Эксплуатационное обслуживание турбинного оборудования объектов использования атомной энергии (далее - ОИАЭ)";"Машинист-обходчик турбинного оборудования";"554н от 02.09.2020"
"256";"219";"30.004";"Судостроение";"Гибка и правка деталей листового и профильного проката в заводских условиях при строительстве и ремонте судов, плавучих сооружений и их составных частей";"Гибщик судовой";"238н от 14.04.2021"
"257";"155";"04.003";"Культура, искусство";"Деятельность по хранению музейных предметов и музейных коллекций в музеях всех видов";"Хранитель музейных ценностей";"537н от 04.08.2014"
"258";"169";"21.001";"Легкая и текстильная промышленность";"Промышленный дизайн детской игровой среды и продукции";"Дизайнер детской игровой среды и продукции";"892н от 18.11.2014"
"259";"174";"40.037";"Сквозные виды профессиональной деятельности";"Разработка технологии производства полупроводниковых элементов, приборов, включая фоточувствительные и оптоэлектронные";"Специалист по разработке технологии производства приборов квантовой электроники и фотоники";"446н от 10.07.2014"
"260";"184";"40.047";"Сквозные виды профессиональной деятельности";"Холодная штамповка листоштампованных изделий из сталей, сплавов и неметаллических материалов на прессах";"Штамповщик";"504н от 26.07.2021"
"261";"193";"13.015";"Сельское хозяйство";"Производственно-технологическая деятельность в области декоративного садоводства";"Специалист в области декоративного садоводства";"559н от 02.09.2020"
"262";"32";"40.011";"Сквозные виды профессиональной деятельности";"Проведение научно-исследовательских и опытно-конструкторских разработок";"Специалист по научно-исследовательским и опытно-конструкторским разработкам";"121н от 04.03.2014"
"263";"57";"11.001";"Средства массовой информации, издательство и полиграфия";"Наладка полиграфического оборудования";"Наладчик полиграфического оборудования";"313н от 28.03.2017"
"264";"67";"06.003";"Связь, информационные и коммуникационные технологии";"Проектирование, сопровождение и развитие архитектуры программного обеспечения";"Архитектор программного обеспечения";"579н от 30.08.2021"
"265";"68";"06.004";"Связь, информационные и коммуникационные технологии";"Верификация и тестирование программного обеспечения";"Специалист по тестированию в области информационных технологий";"531н от 02.08.2021"
"266";"261";"16.027";"Строительство и жилищно-коммунальное хозяйство";"Выполнение механизированных работ с применением бульдозера в условиях строительства, обслуживания и ремонта автомобильных дорог, аэродромов, гидротехнических, трубопроводных и других сооружений";"Машинист бульдозера";"637н от 22.09.2020"
"267";"325";"21.003";"Легкая и текстильная промышленность";"Планирование и исполнение маркетинговых мероприятий в области детских товаров";"Специалист в области маркетинга детских товаров";"759н от 22.10.2021"
"268";"329";"11.010";"Средства массовой информации, издательство и полиграфия";"Деятельность по созданию фотографического изображения с помощью специальных технических средств";"Фотограф";"1077н от 22.12.2014"
"269";"331";"16.040";"Строительство и жилищно-коммунальное хозяйство";"Бестраншейная прокладка подземных инженерных коммуникаций при помощи специализированных мобильных буровых установок горизонтального направленного бурения";"Оператор комплекса горизонтального направленного бурения в строительстве";"711н от 12.10.2021"
"270";"1420";"40.210";"Сквозные виды профессиональной деятельности";"Обслуживание лифтов, подъемных платформ для инвалидов, эскалаторов, систем инженерно-технического обеспечения зданий и сооружений с применением диспетчерского контроля";"Диспетчер аварийно-диспетчерской службы";"136н от 18.03.2021"
"271";"372";"23.025";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Резка рулонной бумаги на листы с последующей их упаковкой на автоматической линии";"Оператор автоматических линий по резке и упаковке листовых бумаг";"1129н от 25.12.2014"
"272";"379";"23.031";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Ведение процесса сжигания черного щелока в содорегенерационных агрегатах и содовых печах";"Содовщик";"1131н от 25.12.2014"
"273";"382";"40.078";"Сквозные виды профессиональной деятельности";"Выполнение токарных работ на универсальных токарных станках";"Токарь";"364н от 02.06.2021"
"274";"463";"24.031";"Атомная промышленность";"Организация и проведение работ по обеспечению ядерной безопасности в процессе эксплуатации АС, связанных с учетом и контролем ядерных материалов";"Специалист в области учета и контроля ядерных материалов в области атомной энергетики";"293н от 14.05.2015"
"275";"475";"24.034";"Атомная промышленность";"Организация технической эксплуатации плавучих атомных станций (ПАТЭС)";"Техник по документации плавучей атомной станции";"279н от 07.05.2015"
"276";"476";"24.035";"Атомная промышленность";"Управление организацией, функционирующей в области использования атомной энергии";"Руководитель управляющей организации в атомной отрасли";"516н от 27.07.2015"
"277";"612";"25.031";"Ракетно-космическая промышленность";"Слесарная сборка автоматических космических аппаратов (далее - АКА) и их компонентов";"Слесарь-сборщик автоматических космических аппаратов";"533н от 02.08.2021"
"278";"776";"16.076";"Строительство и жилищно-коммунальное хозяйство";"Переработка твердых бытовых отходов (ТБО)";"Работник цеха по сортировке твердых бытовых отходов";"1060н от 21.12.2015"
"279";"781";"20.022";"Электроэнергетика";"Оперативное управление тепловыми сетями";"Работник по оперативному управлению тепловыми сетями";"1162н от 28.12.2015"
"280";"216";"30.003";"Судостроение";"Контроль технологии и качества выполнения судокорпусных, судомонтажных и трубопроводных работ в ходе постройки, ремонта, испытаний судов, плавучих сооружений и их составных частей";"Контролер судокорпусных, судомонтажных и трубопроводных работ";"230н от 13.04.2021"
"281";"228";"30.005";"Судостроение";"Столярные работы при постройке и ремонте судов, плавучих сооружений";"Столяр судовой";"361н от 02.06.2021"
"282";"230";"30.007";"Судостроение";"Изготовление, ремонт, монтаж и демонтаж судовых трубопроводов";"Трубопроводчик судовой";"379н от 08.06.2021"
"283";"231";"30.008";"Судостроение";"Слесарно-ремонтные работы при постройке и ремонте судов, плавучих сооружений и их составных частей";"Слесарь-судоремонтник";"336н от 25.05.2021"
"284";"236";"30.011";"Судостроение";"Сборочные и монтажно-достроечные работы при постройке и ремонте судов и плавучих сооружений";"Сборщик-достройщик судовой";"595н от 31.08.2021"
"285";"205";"30.002";"Судостроение";"Малярные работы при постройке и ремонте судов и плавучих сооружений";"Маляр судовой";"254н от 19.04.2021"
"286";"677";"40.115";"Сквозные виды профессиональной деятельности";"Организация и контроль производства (изготовления, монтажа, ремонта, реконструкции) конструкций (изделий, продукции) с применением сварки и родственных процессов";"Специалист сварочного производства";"975н от 03.12.2015"
"287";"509";"01.002";"Образование и наука";"Деятельность по психолого-педагогическому сопровождению образовательного процесса";"Педагог-психолог (психолог в сфере образования)";"514н от 24.07.2015"
