number;standard_number;standard_code;professional_area;professional_type;standard_name;order_Mintrud
"844";"137";"40.027";"Сквозные виды профессиональной деятельности";"Эксплуатация стационарных компрессоров, турбокомпрессоров и автоматизированных компрессорных станций";"Машинист компрессорных установок";"442н от 22.07.2020"
"845";"299";"40.073";"Сквозные виды профессиональной деятельности";"Проектирование технологического оборудования литейного производства";"Специалист по проектированию технологического оборудования литейного производства";"415н от 13.07.2020"
"846";"946";"40.150";"Сквозные виды профессиональной деятельности";"Ремонт и наладка пневмо- и гидрооборудования металлорежущих станков";"Ремонтник-наладчик пневмо- и гидрооборудования металлорежущих станков";"420н от 14.07.2020"
"847";"948";"29.010";"Производство электрооборудования, электронного и оптического оборудования";"Сборка и монтаж электронных устройств различной конструктивной сложности";"Сборщик электронных устройств";"421н от 14.07.2020"
"848";"1326";"02.062";"Здравоохранение";"Врачебная практика в пластической хирургии";"Врач - пластический хирург";"482н от 31.07.2020"
"849";"1338";"02.071";"Здравоохранение";"Осуществление медицинской деятельности в области клинической лабораторной диагностики";"Специалист в области лабораторной диагностики со средним медицинским образованием";"473н от 31.07.2020"
"850";"1342";"08.041";"Финансы и экономика";"Управление инвестиционными проектами с использованием механизма государственно-частного партнерства";"Специалист в сфере управления проектами государственно-частного партнерства";"431н от 20.07.2020"
"851";"1347";"26.024";"Химическое, химико-технологическое производство";"Технологическое сопровождение биотехнологических процессов получения биологически активных веществ (далее - БАВ)";"Специалист в области биотехнологии биологически активных веществ";"441н от 22.07.2020"
"852";"1327";"04.009";"Культура, искусство";"Создание визуальных эффектов в анимационном кино и компьютерной графике";"Специалист по созданию визуальных эффектов в анимационном кино и компьютерной графике";"457н от 31.07.2020"
"853";"1328";"04.010";"Культура, искусство";"Технологическое сопровождение производства анимационного кино";"Специалист по технологиям производства анимационного кино";"459н от 31.07.2020"
"854";"1329";"04.011";"Культура, искусство";"Подготовка и обеспечение подготовительного периода анимационного кино";"Специалист подготовительного периода анимационного кино";"458н от 31.07.2020"
"855";"1332";"02.065";"Здравоохранение";"Деятельность среднего медицинского персонала в области сестринского дела";"Медицинская сестра / медицинский брат";"475н от 31.07.2020"
"856";"1334";"02.067";"Здравоохранение";"Деятельность среднего медицинского персонала в области анестезиологии-реаниматологии";"Медицинская сестра - анестезист";"471н от 31.07.2020"
"857";"1335";"02.068";"Здравоохранение";"Деятельность среднего медицинского персонала в области лечебного дела";"Фельдшер";"470н от 31.07.2020"
"858";"1341";"02.074";"Здравоохранение";"Медицинская помощь несовершеннолетним обучающимся";"Специалист по оказанию медицинской помощи несовершеннолетним обучающимся в образовательных организациях";"481н от 31.07.2020"
"859";"1372";"24.100";"Атомная промышленность";"Экспертиза сметной документации на строительство объектов использования атомной энергии (ОИАЭ) федеральных ядерных организаций";"Эксперт по оценке достоверности определения сметной стоимости строительства, реконструкции, капитального ремонта объектов капитального строительства объектов использования атомной энергии федеральных ядерных организаций";"512н от 24.08.2020"
"860";"1371";"24.099";"Атомная промышленность";"Экспертиза проектной документации и результатов инженерных изысканий объектов использования атомной энергии (далее - ОИАЭ) федеральных ядерных организаций (далее - ФЯО)";"Эксперт в области государственной и ведомственной экспертизы проектной документации и результатов инженерных изысканий объектов использования атомной энергии федеральных ядерных организаций";"515н от 24.08.2020"
"861";"1343";"17.105";"Транспорт";"Техническая эксплуатация судового электрооборудования, электронной аппаратуры и систем управления морских судов, судов внутреннего и смешанного плавания";"Электрик судовой";"574н от 07.09.2020"
"862";"1351";"28.009";"Производство машин и оборудования";"Проектирование металлорежущих лезвийных инструментов";"Специалист по проектированию металлорежущих лезвийных инструментов";"571н от 07.09.2020"
"863";"1362";"12.007";"Обеспечение безопасности";"Тушение пожаров";"Пожарный";"575н от 07.09.2020"
"864";"1364";"17.107";"Транспорт";"Эксплуатация, техническое обслуживание и ремонт судовых двигательных установок, судовых систем, механического, электрического и электронного оборудования и техники морских судов, судов внутреннего и смешанного плавания";"Механик судовой";"576н от 07.09.2020"
"865";"1381";"24.108";"Атомная промышленность";"Проектирование системы физической защиты объектов использования атомной энергии (далее - ОИАЭ)";"Инженер-проектировщик системы физической защиты объектов использования атомной энергии";"552н от 02.09.2020"
"866";"35";"15.001";"Рыбоводство и рыболовство";"Техническое обеспечение добычи (вылова) водных биологических ресурсов и аквакультуры";"Специалист по техническому обеспечению рыболовства и рыбоводства";"604н от 14.09.2020"
"867";"491";"19.028";"Добыча, переработка, транспортировка нефти и газа";"Текущий (подземный) ремонт скважин по добыче углеводородного сырья";"Работник по текущему (подземному) ремонту скважин";"596н от 09.09.2020"
"868";"711";"40.121";"Сквозные виды профессиональной деятельности";"Наладка кузнечно-прессового и вспомогательного оборудования, штамповой оснастки";"Наладчик кузнечно-прессового оборудования";"590н от 09.09.2020"
"869";"74";"16.010";"Строительство и жилищно-коммунальное хозяйство";"Эксплуатация газового оборудования жилых и общественных зданий";"Специалист по эксплуатации газового оборудования жилых и общественных зданий";"612н от 15.09.2020"
"870";"1389";"40.206";"Сквозные виды профессиональной деятельности";"Управление интеллектуальной собственностью  организации";"Специалист по управлению интеллектуальной собственностью и трансферу технологий";"577н от 07.09.2020"
"871";"778";"16.078";"Строительство и жилищно-коммунальное хозяйство";"Эксплуатация газового оборудования жилых и общественных зданий";"Рабочий по эксплуатации газового оборудования жилых и общественных зданий";"598н от 09.09.2020"
"872";"818";"10.005";"Архитектура, проектирование, геодезия, топография и дизайн";"Комплексное благоустройство территорий и объектов городских, сельских поселений и межселенных территорий";"Специалист по благоустройству и озеленению территорий и объектов";"599н от 09.09.2020"
"873";"861";"20.036";"Электроэнергетика";"Обслуживание и ремонт оборудования автоматизированных систем управления технологическими процессами электрических подстанций, автоматизированных систем технологического управления, интеллектуальных систем управления электрическими сетями (далее - оборудование АСУТП электрических сетей)";"Работник по обслуживанию и ремонту оборудования автоматизированных систем управления технологическими процессами в электрических сетях";"713н от 12.10.2021"
"874";"1346";"17.106";"Транспорт";"Управление весоповерочным вагоном, наладка и обслуживание весоповерочного вагона";"Машинист весоповерочного вагона";"614н от 15.09.2020"
"875";"1361";"19.066";"Добыча, переработка, транспортировка нефти и газа";"Эксплуатация объектов трубопроводного транспорта (далее - ТТ)";"Специалист по эксплуатации объектов трубопроводного транспорта нефти и нефтепродуктов";"632н от 21.09.2020"
"876";"1365";"12.008";"Обеспечение безопасности";"Организация и проведение газоспасательных работ и работ по предупреждению аварий и (или) инцидентов на химически опасных и взрывопожароопасных производственных объектах (далее - ОПО)";"Специалист по газоспасательным работам на химически опасных и взрывопожароопасных производственных объектах";"626н от 21.09.2020"
"877";"1370";"17.110";"Транспорт";"Деятельность по работе с клиентами в сфере грузовых перевозок на железнодорожном транспорте";"Специалист по работе с клиентами в сфере грузовых перевозок на железнодорожном транспорте";"640н от 22.09.2020"
"878";"212";"40.057";"Сквозные виды профессиональной деятельности";"Разработка, внедрение и эксплуатация автоматизированных систем управления предприятием (далее - АСУП) в машиностроении";"Специалист по автоматизированным системам управления машиностроительным предприятием";"658н от 28.09.2020"
"879";"96";"17.005";"Транспорт";"Управление несамоходной железнодорожно-строительной машиной, ее обслуживание и руководство работой железнодорожно-строительной машины (комплекса)";"Работник по управлению и обслуживанию железнодорожно-строительной машины (несамоходной)";"624н от 21.09.2020"
"880";"248";"40.061";"Сквозные виды профессиональной деятельности";"Изготовление деталей на металлорежущих автоматических и полуавтоматических станках и линиях станков";"Оператор автоматических и полуавтоматических станков и линий станков";"659н от 28.09.2020"
"881";"1392";"19.067";"Добыча, переработка, транспортировка нефти и газа";"Выполнение подготовительных и вспомогательных работ при проведении геофизических работ в нефтегазовой отрасли";"Работник на геофизических работах в нефтегазовой отрасли";"728н от 19.10.2020"
"882";"665";"40.110";"Сквозные виды профессиональной деятельности";"Выполнение работ по физико-механическим испытаниям и анализу свойств сварных соединений и материалов деталей свариваемых конструкций";"Лаборант по физико-механическим испытаниям металлических и полимерных материалов и сварных соединений";"726н от 19.10.2020"
"883";"961";"40.158";"Сквозные виды профессиональной деятельности";"Наладка и сдача в эксплуатацию контрольно-измерительных приборов и аппаратуры автоматического регулирования и управления";"Наладчик контрольно-измерительных приборов и автоматики";"739н от 22.10.2020"
"884";"275";"40.067";"Сквозные виды профессиональной деятельности";"Ремонт и обслуживание контрольно-измерительных приборов и аппаратуры автоматического регулирования и управления";"Слесарь по контрольно-измерительным приборам и автоматике";"685н от 30.09.2020"
"885";"293";"15.011";"Рыбоводство и рыболовство";"Производство продуктов питания из водных биоресурсов и объектов аквакультуры";"Специалист по технологии продуктов питания из водных биоресурсов и объектов аквакультуры";"713н от 08.10.2020"
"886";"324";"40.075";"Сквозные виды профессиональной деятельности";"Проектирование технологической оснастки для литейного производства";"Специалист по технологической оснастке литейного производства";"683н от 30.09.2020"
